Timestamp,How often do you visit Centennial Park?,How far do you travel to get to the Park?,Why do you visit the Park? (check all that apply),"On a scale of 1 to 10, with 1 being ""Very poorly"" and 10 being ""Very well"", how do you feel that the Park is maintained?",Did you notice any issues in the Park today? (check all that apply),Do you believe the Park could benefit from more ongoing activities or services?,"If yes, which activities or services would you most like to see? (select all that apply)","On a scale of 1-10, with 1 being ""Not safe at all"" and 10 being ""Very safe"", how safe do you feel in the Park?","Were you aware that there is a nonprofit support group, Centennial Park Conservancy, that helps to underwrite Park improvements and arts & educational programs in the Parthenon and Park through donations and memberships?",Are you a member of Centennial Park Conservancy?,Is there anything else you would like to share with us today?,What is your age?,What is your race / ethnicity?,What is your ethnicity?,What is your gender?,Would you like to receive monthly updates about events and programs in Centennial Park?,Would you like to learn more about becoming a member of Centennial Park Conservancy?
5/4/2022 20:28:04,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Feed the ducks, Visit the playground, Play sports",8,The pond ,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",10,No,No,,26-35,Black or African American,,Woman,No,No
5/5/2022 15:38:33,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, The history and restoration of the park interests me. ",9,None,No,"Iâ€™m not aware of the programs offered beyond the tours of the Parthenon, so I have no opinion. ",10,Yes,No,,56-65,White,,Woman,No,No
5/7/2022 18:59:11,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Trash or litter,Yes,Events,10,No,No,,16-25,White,,Man,No,No
5/7/2022 19:01:12,Weekly,1 - 5 miles away,"Visit the Parthenon, Visit Centennial Performing Arts Studios, Visit the dog park",10,Trash or litter,Yes,Walking/golf cart tours,9,No,No,,16-25,White,,Man,No,No
5/8/2022 10:31:14,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Visit the playground",8,Trash or litter,No,Carousel,7,No,No,,46-55,Prefer not to say,,Woman,No,No
5/9/2022 14:35:38,Occasionally,"From out of State, but in the U.S.",Spend time in an outdoor green space,7,Trash or litter,Yes,Public restrooms,10,Yes,No,,46-55,White,,Woman,No,No
5/9/2022 18:18:23,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit the playground",8,No public restrooms,Yes,Public restrooms,8,Yes,No,,46-55,Asian,,Woman,No,No
5/9/2022 18:21:11,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Feed the ducks, Visit the playground",10,No public restrooms,Yes,"Carousel, Public restrooms",9,Yes,No,,66+,White,,Woman,Yes,No
5/10/2022 11:24:50,Rarely,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon",10,No,Yes,"Events, More food and beverage options, Carousel",10,Yes,No,,16-25,White,,Man,No,No
5/10/2022 13:15:39,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",9,Landscaping issues,Yes,"Events, More food and beverage options",9,No,No,,16-25,Asian,,Man,No,No
5/10/2022 13:16:30,Rarely,From another country,"Spend time in an outdoor green space, Visit the Parthenon",8,Trash or litter,Yes,"More food and beverage options, Walking/golf cart tours, Public restrooms",8,No,No,,16-25,Asian,,Man,No,No
5/10/2022 13:16:53,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",8,Landscaping issues,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel",10,No,No,,16-25,Asian,,Woman,No,No
5/12/2022 15:51:52,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",7,No bathrooms!!,No,Public restrooms,8,Yes,No,,66+,White,,Woman,No,No
5/13/2022 18:37:57,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic",10,Trash or litter,Yes,More food and beverage options,10,No,No,,26-35,White,,Man,No,No
5/14/2022 9:05:40,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Feed the ducks",9,Damage or deterioration,Yes,Events,9,No,No,,16-25,Multiracial,,Woman,No,No
5/16/2022 18:34:12,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Walk dog, Visit the dog park, Feed the ducks",10,A person walking around using profanity.,Yes,"Events, More food and beverage options, Public restrooms",5,No,No,On the occasions I have visited there is one or two people walking around singing out loud and making derogatory remarks about different ethnicities. I usually leave when this occurs.,46-55,Black or African American,,Woman,Yes,No
5/17/2022 14:09:09,Monthly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",10,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",9,No,No,,16-25,White,,Woman,No,No
5/19/2022 11:37:38,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Feed the ducks",8,Trash or litter,No,,7,Yes,No,"The park is very beautiful, I enjoyed seeing the wildlife (especially the baby geese).",16-25,White,,Prefer not to say,No,No
5/19/2022 11:37:57,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Feed the ducks",8,Trash or litter,No,,7,Yes,No,"The park is very beautiful, I enjoyed seeing the wildlife (especially the baby geese).",16-25,White,,Prefer not to say,No,No
5/19/2022 19:47:13,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",9,Trash or litter,Yes,Safety officers,7,No,No,,46-55,Black or African American,,Woman,Yes,No
5/21/2022 13:45:32,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Attend events",7,"Landscaping issues, No recycle bins",Yes,"Events, More food and beverage options",7,No,No,,46-55,White,,Woman,No,No
5/22/2022 18:01:29,Weekly,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run), Visit the Parthenon, Visit the playground",8,Trash or litter,Yes,"More food and beverage options, Public restrooms",10,Yes,No,There are parts of the water that are quite swampy :),16-25,Black or African American,,Man,No,No
5/22/2022 18:11:20,Weekly,Less than a mile away,"Exercise (walk, bike, run)",10,na,Yes,"Events, More food and beverage options",8,No,No,,16-25,White,,Woman,No,No
5/23/2022 21:39:19,Weekly,6 - 9 miles away,"Exercise (walk, bike, run)",8,"Damage or deterioration, Trash or litter",Yes,"Carousel, Public restrooms",8,No,No,More TN wildflowers and native plant gardens would be great. And more art throughout the park.,26-35,White,,Man,No,No
5/25/2022 14:34:27,Rarely,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Feed the ducks",10,Trash or litter,Yes,,10,No,No,Love the pigeons,26-35,White,,Man,No,No
5/25/2022 15:59:17,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events",8,"Damage or deterioration, Trash or litter",Yes,"Events, More food and beverage options",9,Yes,Yes,,46-55,Prefer not to say,,Prefer not to say,No,No
5/25/2022 17:48:21,Occasionally,Less than a mile away,"Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks",10,No kickball tournaments ,Yes,Kickball tournaments ,10,No,No,Iâ€™m going to visit Athena tomorrow ,16-25,White,,Man,Yes,No
5/26/2022 13:55:23,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Play sports",10,None,Yes,Events,10,No,No,"I absolutely loved visiting this park! We traveled eight hours to come here, and Iâ€™m so glad we came! It was so clean and beautiful",16-25,Black or African American,,Woman,No,No
5/29/2022 18:02:35,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,7,Trash or litter,No,Events,10,No,No,,26-35,White,,Woman,No,No
5/29/2022 18:59:07,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,No,Yes,Public restrooms,9,No,No,,26-35,White,,Woman,No,No
5/31/2022 10:55:29,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",10,"Trash or litter, lack of compost bins",Yes,"Public restrooms, compost bins",10,Yes,No,,16-25,Black or African American,,Woman,No,No
6/2/2022 18:18:47,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",8,Parthenon QER code worn on ground,No,,9,No,No,Beautiful green space,56-65,White,,Woman,No,No
6/3/2022 11:00:23,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Feed the ducks",8,Trash or litter,No,"More food and beverage options, Carousel",8,No,No,,16-25,White,,Woman,No,No
6/3/2022 11:10:35,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Not enough trash cans,Yes,"More food and beverage options, Carousel, Public restrooms, More trash receptivles",10,No,No,,56-65,White,,Man,No,No
6/3/2022 11:15:15,Rarely,Greater than 50 miles,Visit the Parthenon,7,"Trash or litter, Not enough trash cans around ",Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,No,No,,46-55,White,,Woman,No,No
6/4/2022 0:22:45,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,none,Yes,"Events, More food and beverage options",10,No,No,,16-25,White,,Woman,No,No
6/4/2022 9:10:05,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",7,Trash or litter,Yes,Public restrooms,9,No,No,,16-25,White,,Woman,No,No
6/4/2022 11:45:23,Rarely,"From out of State, but in the U.S.","Exercise (walk, bike, run), Visit the Parthenon",9,Trash or litter,Yes,"More food and beverage options, Carousel",8,No,No,,16-25,White,,Man,No,No
6/9/2022 19:56:05,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Walk dog, Visit the dog park, Feed the ducks, Hammock",8,"Damage or deterioration, Trash or litter",Yes,"More food and beverage options, Public restrooms",7,No,No,,36-45,White,,Woman,Yes,No
6/11/2022 12:12:59,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Feed the ducks",10,Signage unclear,Yes,Public restrooms,9,No,No,,16-25,Native Hawaiian and Other Pacific Islander,,Woman,No,No
6/12/2022 15:15:57,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Picnic, Feed the ducks, Visit the playground",7,Porta potties are disgusting ,Yes,"More food and beverage options, Carousel, Public restrooms",7,No,No,There needs to be sanitary bathrooms near the playground where small children can go and not contract the bubonic plague ,26-35,White,,Woman,No,No
6/16/2022 13:16:01,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,9,Damage or deterioration,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel",7,No,No,,16-25,Prefer not to say,,Prefer not to say,No,Yes
6/18/2022 18:19:49,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon",9,Trash or litter,Yes,"Events, Carousel",10,No,No,Wish Parthenon was open later more regularly,26-35,White,,Man,No,No
6/19/2022 18:16:20,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events",8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,,36-45,White,,Woman,Yes,No
6/20/2022 0:26:39,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks, Visit the playground, Play sports",10,Dogs around should be separate places  ,Yes,"Carousel, Public restrooms",10,Yes,Yes,"Everything so beautiful , and itâ€™s very comfortable.",36-45,Asian,,Woman,Yes,Yes
6/20/2022 9:48:57,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,None I saw,No,,9,No,No,,26-35,White,,Woman,Yes,No
6/20/2022 14:04:08,Occasionally,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",10,Signage unclear,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,16-25,White,,Woman,Yes,Yes
6/23/2022 10:47:14,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",7,"Trash or litter, Dog poop",Yes,,8,No,No,Hello from Montana! Feeling the heat and humidity. Haha Nice looking park here! Happy we made the visit.,36-45,White,,Man,No,No
6/24/2022 17:44:39,Daily,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Attend events, Walk dog, Visit the dog park, Feed the ducks, Admire the ducks",6,"Excrement everywhere, geese aggressive",Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",6,No,No,,16-25,Prefer not to say,,Prefer not to say,No,No
6/24/2022 17:44:54,Daily,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the dog park, Feed the ducks",6,Bird feces everywhere,Yes,"More food and beverage options, Public restrooms",4,No,No,I would like all the geese removed,26-35,White,,Man,No,No
6/25/2022 12:27:13,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",8,Trash or litter,Yes,"More food and beverage options, Public restrooms, Dog trash cans & water fountains (dog & people)",8,Yes,No,More trash cans please ,26-35,White,,Woman,Yes,No
6/26/2022 18:13:02,Daily,Less than a mile away,Visit the Parthenon,6,Trash or litter,Yes,Carousel,6,Yes,Yes,,56-65,Multiracial,,Non-binary/non-conforming,Yes,Yes
6/29/2022 18:36:53,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",9,where are the trash cans,No,,10,Yes,No,thanks for letting me comment Beautiful green space,66+,Hispanic or Latinx,,Woman,No,No
6/30/2022 18:59:44,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",9,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",9,Yes,No,nope:),16-25,White,,Woman,No,No
6/30/2022 19:52:02,Rarely,"From out of State, but in the U.S.","Exercise (walk, bike, run), Visit the Parthenon, Visit the playground",10,None ,Yes,Public restrooms,10,No,No,No,16-25,White,,Woman,No,No
7/1/2022 7:05:55,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Walk dog, Visit the playground",9,Homless people begging for money,Yes,"Events, More food and beverage options, Public restrooms",9,No,No,,36-45,White,,Woman,No,No
7/1/2022 17:32:55,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog, Visit the dog park",6,None,Yes,"More food and beverage options, Public restrooms",8,Yes,No,Instead of funding a park police I think that money could go towards helping the unhoused that come here for shelter rather than punishing them for being poor. Also that funding could go toward adding water fountains with dog bowl access and more shaded areas for seating. Also please remove the Confederate soldier memorial it is absolutely disrespectful to the Black patrons at the park.,26-35,White,,Man,No,No
7/3/2022 13:55:32,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events, Walk dog",5,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,You should put lids on the trash cans so that trash doesnâ€™t easily escape and animals canâ€™t get into it. Thanks. ,16-25,Prefer not to say,,Prefer not to say,No,No
7/3/2022 13:55:55,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Picnic, Walk dog",6,"Trash or litter, Trash cans donâ€™t have lids. Is there recycling?",Yes,"Events, Concerts",10,No,No,,16-25,Asian,,Man,No,Yes
7/3/2022 20:23:02,Occasionally,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the playground",10,Nothing,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,Prefer not to say,Asian,,Prefer not to say,No,Yes
7/4/2022 16:00:04,Occasionally,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",7,Trash or litter,Yes,"More food and beverage options, Public restrooms",9,No,No,,56-65,Prefer not to say,,Woman,No,Yes
7/4/2022 19:46:57,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Play sports",10,Trash or litter,Yes,Public restrooms,7,No,No,No,16-25,Prefer not to say,,Man,No,No
7/5/2022 14:57:58,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Play sports",4,"Trash or litter, Pond is very dirty ",Yes,Public restrooms,9,Yes,No,"Thank you for the work that you do! It is a lovely park, I am from Boston and couldnâ€™t help comparing it to the Commons and am not used to the general level of litter in Nashville but would love the park to continue to be as much as an oasis from that as possible.",26-35,White,,Woman,Yes,Yes
7/5/2022 18:43:46,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic, Walk dog, Play sports",6,"Damage or deterioration, Trash or litter",Yes,,8,No,No,Perhaps people donâ€™t care or embrace standards as they should but too many ppl drop trash and pollute the pond. I have personally used sticks to remove plastic and trash from the grounds and the pond. Perhaps more attention on cleaning up the debris in the pond would help. ,36-45,White,,Man,No,No
7/6/2022 10:24:24,Rarely,"From out of State, but in the U.S.",Spend time in an outdoor green space,5,A white duck in the pond has a fishing hook and line attached to its foot,No,Public restrooms,5,No,No,The duck has a fishing hook and line attached to its foot,36-45,White,,Woman,No,No
7/6/2022 10:26:56,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit the playground",7,I canâ€™t think of anything ,Yes,"More food and beverage options, Carousel, Public restrooms",7,No,No,,26-35,Hispanic or Latinx,,Woman,Yes,No
7/6/2022 14:31:15,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",8,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",7,No,No,Thanks for keeping the park clean ,16-25,White,,Man,No,No
7/6/2022 14:32:34,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",7,No,No,,16-25,White,,Man,No,No
7/9/2022 20:33:36,Weekly,1 - 5 miles away,"Exercise (walk, bike, run), Attend events, Picnic, Walk dog, Feed the ducks, Visit the playground",8,Trash or litter,Yes,"Events, More food and beverage options",6,No,No,No,16-25,Hispanic or Latinx,,Woman,Yes,No
7/13/2022 11:04:16,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic",10,None! air looks beautiful. ,No,,10,Yes,No,,26-35,Prefer not to say,,Woman,No,No
7/14/2022 20:58:40,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Visit the playground",10,Overly moldy pond,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel",8,No,No,,26-35,Hispanic or Latinx,,Woman,Yes,Yes
7/16/2022 15:21:14,Rarely,Greater than 50 miles,"Spend time in an outdoor green space, Visit the Parthenon, Picnic, Walk dog",10,None,Yes,"Events, More food and beverage options",10,No,No,,26-35,White,,Man,Yes,Yes
7/17/2022 10:23:00,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit Centennial Performing Arts Studios, Attend events, Picnic, Walk dog, Visit the dog park",8,None,No,,9,Yes,No,,26-35,White,,Man,Yes,Yes
7/17/2022 11:09:41,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",10,No,Yes,"More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",9,No,No,,Prefer not to say,White,,Woman,No,No
7/17/2022 13:57:46,Rarely,"10+ miles away, but no more than 50 miles",Visit Centennial Arts Center,4,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,,56-65,White,,Man,Yes,Yes
7/17/2022 16:42:06,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",10,Trash or litter,Yes,"Events, More food and beverage options, Carousel, Row boats",9,No,No,,26-35,White,,Woman,Yes,No
7/17/2022 17:24:22,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic",3,"Damage or deterioration, Trash or litter, Landscaping issues, Bathrooms are closed or a mess ( portable toilets)",Yes,"Events, Public restrooms",9,No,No,Park feels unloved and the big green space should be grass and not turf. Patk is full of trash and the pond has areas where there is thick algae and moss and trash building up. It looks very sad. ,46-55,White,,Man,No,No
7/20/2022 19:52:27,Occasionally,Greater than 50 miles,"Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks",8,None,Yes,"Walking/golf cart tours, Carousel, Public restrooms",8,Yes,No,Na,16-25,Black or African American,,Woman,No,No
7/21/2022 10:58:23,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Walk dog",8,"Damage or deterioration, Trash or litter",Yes,More security,7,No,No,,66+,White,,Man,No,No
7/21/2022 21:26:05,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic, Walk dog, Visit the dog park",7,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms, i think it would be good to add more dog waste bins along the walking routes. also, human or dog water stations (water bottle refill stations).",9,Yes,No,,16-25,White,,Woman,No,No
7/23/2022 10:29:29,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,3,"Trash or litter, Landscaping issues, Sluge & what plastic garbage at both ends of pond. EXCESSIVE ! Nasty & dangerous and obwildlife!!",Yes,"Cleaning pond of trash regularly , trash cans, more flowers & more benches! Pick up busted balloons!",8,No,No,,56-65,Prefer not to say,,Prefer not to say,No,No
8/6/2022 10:08:52,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",9,None ,No,,10,No,No,,36-45,White,,Woman,No,No
8/6/2022 19:11:51,Occasionally,"From out of State, but in the U.S.",Visit Centennial Arts Center,10,Signage unclear,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,26-35,Black or African American,,Woman,No,Yes
8/6/2022 19:11:52,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Feed the ducks, Visit the playground",9,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,26-35,Black or African American,,Man,No,Yes
8/11/2022 7:16:31,Occasionally,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), see the lake (ducks and geese)",10,n/a,Yes,Events,10,No,No,,16-25,White,,Woman,Yes,No
8/11/2022 11:31:55,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",9,The pond could be better maintained. Garbage and debris tends to accumulate. Would love to see it better foster plant and animal life! ,Yes,Public restrooms,10,No,No,,26-35,White,,Man,Yes,Yes
8/14/2022 16:45:41,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events",6,Landscaping issues,Yes,"Events, More food and beverage options, Carousel, Public restrooms, Paddle boats, cafe tables and chairs, small, permanent structure for food and beverage  kiosks - something similar to Bryant Park in NYC. Coffee, croissants, ice cream, etcâ€¦",7,No,No,,46-55,White,,Woman,Yes,Yes
8/17/2022 18:15:48,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Picnic",10,Signage unclear,Yes,Public restrooms,10,No,No, ,36-45,Black or African American,,Woman,Yes,No
8/20/2022 16:48:58,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks",7,"Trash or litter, Landscaping issues",Yes,"More food and beverage options, Public restrooms",7,No,No,,26-35,White,,Man,No,No
8/21/2022 12:33:50,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",7,"Trash or litter, Lots of trash in the water ",Yes,"Events, Public restrooms",10,No,No,Wish the public restrooms were open and an option to donate and scan QR code to help with cost of maintaining restrooms and trash pick up for park ,16-25,White,,Woman,No,No
8/23/2022 16:46:02,Monthly,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Feed the ducks, Volunteer to stand with the JW.ORG cart. ",8,Trash or litter,Yes,"More food and beverage options, Carousel, Public restrooms",8,Yes,No,Not today ,46-55,White,,Woman,Yes,Yes
8/24/2022 12:29:53,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Attend events",9,Not enough benches,Yes,"Events, More food and beverage options, Public restrooms, More benches!",7,Yes,No,,46-55,White,,Woman,No,No
8/24/2022 12:47:16,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Use the volleyball courts, Play sports",7,"Damage or deterioration, Trash or litter",No,Public restrooms,8,No,No,"Lights on the volleyball court need to be adjusted to point on to the court

Water spicket near courts needs to be turned back on",36-45,White,,Man,No,No
8/24/2022 13:30:48,Occasionally,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run)",8,No ,No,,7,No,No,,26-35,White,,Woman,No,No
8/24/2022 19:33:12,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,None,No,,10,No,No,I grew up here and came back to visit. I loved the audio tour of the Parthenon! ,36-45,White,,Man,Yes,Yes
8/25/2022 12:38:30,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Signage unclear,Yes,"Events, More food and beverage options",10,No,No,"Perhaps have local bands from Vanderbilt, Belmont and MTSU",56-65,White,,Woman,Yes,Yes
8/25/2022 16:21:11,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",10,Trash or litter,Yes,Public restrooms,10,No,No,,16-25,White,,Woman,No,No
8/25/2022 16:31:13,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon",8,Trash or litter,No,"More food and beverage options, Public restrooms",8,No,No,,16-25,White,,Woman,No,No
8/27/2022 9:01:57,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit Centennial Performing Arts Studios, Attend events, Feed the ducks, Visit the playground",9,"Damage or deterioration, Trash or litter",Yes,"Events, Carousel, Public restrooms",9,No,No,Impressive improvements to the park. !!,56-65,Black or African American,,Woman,Yes,Yes
